PF,num_test,modelDL,modelET,blast,hmm,protenn
PF07559,3,0.0,0.0,0.33333333333333337,0.0,0.0
PF05149,2,0.0,0.0,0.0,0.0,0.0
PF00700,4,1.0,0.0,1.0,0.0,0.5
PF00669,4,0.0,0.0,1.0,0.0,0.0
PF01613,2,0.0,0.0,0.0,0.0,0.0
PF00258,6,1.0,0.33333333333333337,0.8333333333333334,0.5,0.33333333333333337
PF02525,4,1.0,0.0,1.0,0.75,0.75
PF12724,3,0.0,0.0,0.33333333333333337,0.0,0.0
PF02441,20,0.0,0.0,0.050000000000000044,0.0,0.0
PF05130,11,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0
PF02120,2,0.0,0.5,1.0,0.0,0.0
PF02050,3,0.0,0.0,1.0,0.0,0.0
PF03748,3,0.0,0.0,0.0,0.0,0.0
PF04347,1,0.0,0.0,0.0,0.0,0.0
PF05400,7,0.0,0.0,1.0,0.8571428571428572,0.1428571428571429
PF03069,6,0.0,0.0,0.0,0.16666666666666663,1.0
PF02663,3,0.0,0.0,0.0,0.33333333333333337,0.0
PF04205,1,0.0,0.0,0.0,1.0,0.0
PF03358,3,0.0,1.0,0.0,0.33333333333333337,0.33333333333333337
PF00041,1,1.0,1.0,1.0,1.0,0.0
PF06280,1,1.0,0.0,1.0,0.0,0.0
PF14637,1,0.0,0.0,0.0,0.0,0.0
PF11817,1,1.0,1.0,1.0,0.0,0.0
PF03024,3,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0
PF02911,1,0.0,0.0,0.0,0.0,0.0
PF10277,12,0.0,0.0,0.9166666666666666,0.25,0.0
PF06229,2,0.0,1.0,0.0,0.0,1.0
PF13093,1,0.0,0.0,0.0,1.0,0.0
PF01827,1,0.0,0.0,0.0,0.0,0.0
PF03239,2,0.0,0.0,0.0,0.0,1.0
PF14450,13,1.0,0.0,1.0,1.0,0.3846153846153846
PF06480,23,0.0,0.0,0.6086956521739131,0.4347826086956522,0.0
PF03799,11,0.0,0.0,0.2727272727272727,0.18181818181818177,0.0
PF02687,14,0.0,0.0,0.7142857142857143,0.1428571428571429,0.0
PF02952,5,1.0,0.0,1.0,0.19999999999999996,1.0
PF04082,9,0.0,0.0,0.11111111111111116,0.0,0.0
PF11951,14,0.0,0.0,0.1428571428571429,0.2142857142857143,0.0
PF04632,7,0.0,0.0,0.0,0.1428571428571429,0.0
PF12805,7,0.1428571428571429,0.0,0.1428571428571429,0.1428571428571429,0.0
PF13515,7,0.0,0.0,1.0,0.8571428571428572,0.7142857142857143
PF00523,1,0.0,0.0,0.0,1.0,0.0
PF00503,6,0.0,0.0,0.0,0.5,0.16666666666666663
PF04114,2,0.0,0.0,0.0,0.5,0.0
PF01590,26,0.6538461538461539,0.5769230769230769,0.8076923076923077,0.7307692307692308,0.0
PF13185,29,0.4137931034482759,0.24137931034482762,0.5862068965517242,0.5517241379310345,0.0
PF13492,5,0.4,0.19999999999999996,1.0,0.8,0.4
PF00607,2,0.0,1.0,0.0,0.0,1.0
PF16489,6,0.0,0.0,1.0,0.0,0.0
PF00337,1,0.0,0.0,0.0,0.0,0.0
PF01762,3,0.0,0.0,0.0,0.0,0.0
PF01087,13,1.0,0.0,1.0,0.0,1.0
PF02744,1,1.0,1.0,1.0,1.0,1.0
PF16731,1,0.0,1.0,1.0,0.0,0.0
PF13851,2,0.0,0.5,0.0,0.0,0.0
PF04598,2,0.0,0.0,0.0,0.0,0.0
